sender,amount0,amount1,block
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,110000000000000000000,2573728503892093336,10678947
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,20000000000000000000,463697475483862132,10679380
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,32073779489546347425,836128649463824082,10679872
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,252968231876154643673,7640578788946021680,10680902
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1048200000000000000000,28504741093273426255,10680986
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,4050285922714006225,121999999999999999,10683642
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,295970820277204117,6888957301908600,10685462
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,93555998201097185450,2049310288288974862,10687411
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,704400000000000000000,15250930422761406517,10687611
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,230067957965854281966,4957570990983648809,10688050
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,9000000000000000000,201265648528321759,10688187
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115239273001497878367,2832202126610224693,10691756
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,205153000000000000000,4520337989570563239,10694335
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,9449871281100960477,199438048851789795,10695716
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,300000000000000000000,6398769049387843475,10697961
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,72838105852558325715,1432708104890465668,10702314
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,31141580734825859996,996078355951578511,10706245
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,32527701970000000000,917837335873650058,10707199
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,277526163471655848097,8805696531562851862,10707778
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1833926875225261401332,56475534745231389728,10708594
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1008123480288750183103,32420626814619073094,10708862
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,29400758872981703449,1025483458095293961,10709436
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,437907709486105780274,15521817650863831579,10709609
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,19971378400224172904,666343237987887617,10710195
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,60000000000000000000,2103676296980274748,10711774
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,997807827842710052914,39163977997263076602,10712022
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,17260000000000000000,696704179431930340,10712201
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1395533298178019720,58062835369568123,10712313
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,24676914127448136123,967085679489242351,10712893
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,102215876273684500507,3999999999999999999,10712904
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,15285145425373796321,533388198058728228,10714597
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,24556744037450596488,1009772715401239614,10714958
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,51581097661167049918,1920671179488856470,10716400
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,51142000000000000000,1932041253742843171,10716801
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,55706722995462006875,1988980601318488930,10718870
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1294671166814245801,49775913655324979,10719898
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,40692847509712000445,1460981796073372205,10720888
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,50000000000000000000,1724468852700070823,10722371
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,84047281284078879451,3009654775058194578,10722751
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,28641432993357642674,1100341358253996687,10723447
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1684629526263282413744,64203598002683079041,10724027
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1020000000000000000,46262790505953488,10725986
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,12233005224399101525,591084035523427341,10726134
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,5204802405141707991,250000000000000000,10726780
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,10477849012927613686,504949376692172541,10726789
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,5000000000000000000,237753658998925186,10727294
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,52000000000000000000,2496439080185309443,10727344
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,4000000000000000000,191551369801037085,10727387
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,30926029228711743700,1498196168721344560,10727599
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,19808232266387656058,919013005280904734,10727876
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,99270763472556381871,4999999999999999999,10728925
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,302510262961167931082,15184920163556891199,10728970
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,99525126125647797833,5000000000000000000,10728989
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,99518134172045246428,4999999999999999999,10729029
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,10221323335039881360,519819242608683202,10729092
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,23966776811421340636,1197746168806368366,10729117
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,8611932932802392006,429999999999999999,10729136
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,10000000000000000000,499307186151151961,10729138
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,39165730221074747114,2019746906606121245,10729226
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,19066298411870060206,1009517482781541484,10729290
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,36742614669393908094,1999999999999999999,10729440
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,24919182520543472509,1333265634403574145,10729561
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,19978187392166304737,1065054337760544224,10729649
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,15400000000000000000,857701680823241761,10730378
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,17966509538660569369,991658632223151323,10730403
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,26117958681346898030,1449194277288100949,10730555
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,3981459462502942554,192721779118660719,10732092
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,222400941668695707813,10855111495055890561,10732215
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,2740008007098819210,130510000000000000,10732323
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,196762119822981667947,9048373185152329090,10732410
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,27991845504375434763,1293187830793786565,10732495
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,9631683778988507686,455000000000000000,10732748
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,43220999267514713592,2030474940753836497,10732774
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,20311767370782620038,999999999999999999,10732937
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,25100000000000000000,1225216729049147430,10733078
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,5834536079896075315,296794791698807077,10734076
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,50000000000000000000,2501616860517394273,10734223
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,86044919399184363014,4260316710871447236,10734742
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,3797820820131135268,202298132670891243,10735341
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,9497384799261231846,497982689080719474,10735974
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,74825664001711439252,3958029216218638455,10736198
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,123000000000000000000,4955976376505316785,10737693
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,19150099019048958028,776643916126056531,10737943
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,53579015558670465432,2490697546180364128,10738240
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,9961341874101331365,469114225797566806,10738621
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,15000000000000000000,756722829836813292,10739193
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,14687173049367614379,749023013528564200,10741161
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,4681867952850360076,237189011180215247,10742195
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,76940983553428302766,3499999999999999999,10743492
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,22530874202437961310,1056668404709017693,10743580
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,17106823375212328249,819803234944246299,10743938
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,20784393476017891520,995806326690920174,10743965
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,50241004010343446455,2649137559027626352,10744655
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,80020605147299944001,3999999999999999999,10748512
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1907990624875406434,100000000000000000,10751119
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,36960157416576388720,1999999999999999999,10751192
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,7870262120635067939,421751369010231709,10751472
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,10348201994263508291,551925362667885958,10751493
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,3000000000000000000,181969039322481421,10751949
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,7000000000000000000,440703079114436367,10752043
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,18632218544210925433,1241237154843281374,10752497
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,111510673792930181963,7087763231253252449,10752638
