sender,to,amount0,amount1,block
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1785672922283540859,146672542378133622,10759104
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,31126184690465019487,2441741639229223250,10760548
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,30193500088372874646,2322168356790834983,10761799
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x38b3bb561700fc263240c4bCfA6F9a5A10167556,2643259027345140756,203279895423116273,10762466
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,3986776852003453680,309693226078020800,10762701
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,7901054290199857196,618470632189068987,10762764
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,221432776933401480199,18036278982042703226,10763573
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,235078434685006743812,19491459137540495206,10764047
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,487976584292795579113,32939758933578231386,10769090
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0xe07eF543c16431275718CC1F114B0241FF217278,15087653994468040696,1025007293151586827,10769867
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,14216083173837150643,984931241941739346,10770069
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,125647495744534005333,8702543452736047332,10770088
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,36228387512549325342,2607677366129200803,10770806
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,62031498985311225034,4558832594791688199,10771077
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,443021601193117516580,34343419327146056014,10772127
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,237958202359663601294,17661737145130666569,10773270
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,28605607450698027655,2162351347967206434,10774119
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,28795982732767675252,2267323646892619056,10777780
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,1477994278072421719758,109202794722496924577,10777889
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,98179674273180358242,8402214116474094018,10781178
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,25947622436978516712,1855510068603312610,10781843
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,27624738136167599967,2144597662816087647,10784824
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,37417756069146073983,2822767692920404231,10786312
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,41691370143577843929,3160637695448956032,10787531
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,12135115035823540740,827032299934277923,10789140
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,110450566525814713809,7216470119774802385,10789650
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,5025275910970072983,378014129003597041,10790490
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,15925077076396580419,1218619390490735613,10790791
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,4578287579531793613370,283563290822592891898,10791589
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,118451156275827958375,7875002862194334397,10792867
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0x343E3a490c9251dC0eaA81Da146ba6ABe6C78b2d,6726214907784698194,449840820728206702,10793372
